,strike price,expectation value (real),expectation value (imag)
0,10,0.995859691512,-0.0
1,15,0.996535466692,-0.0
2,20,0.997014936813,-0.0
3,25,0.997386842731,-0.0
4,30,0.997690711993,0.0
5,35,0.997947629793,-0.0
6,40,0.998170182114,-0.0
7,45,0.998366487173,0.0
8,50,0.998542088032,-0.0
9,55,0.998700938332,0.0
10,60,0.998845957294,-0.0
11,65,0.998979361806,-0.0
12,70,0.999102874966,-0.0
13,75,0.999217845629,0.0
14,80,0.999324436627,0.0
15,85,0.999400085029,-0.0
16,90,0.999147894742,0.0
17,95,0.996504575455,0.0
18,100,0.983259624381,0.0
19,105,0.940442459738,0.0
20,110,0.844519723067,0.0
21,115,0.688412029499,0.0
22,120,0.496619208531,0.0
23,125,0.312811822131,-0.0
24,130,0.171472426824,0.0
25,135,0.082113383298,0.0
26,140,0.034669655917,-0.0
27,145,0.013128578702,0.0
28,150,0.00464021401,0.0
29,155,0.00171089814,0.0
30,160,0.00083214596,0.0
31,165,0.000620389958,0.0
32,170,0.000602308832,-0.0
33,175,0.000634497742,0.0
34,180,0.000677888674,-0.0
35,185,0.00072281788,-0.0
36,190,0.000767121769,-0.0
37,195,0.000810387849,-0.0
38,200,0.000852579561,0.0
39,205,0.000893733137,-0.0
40,210,0.000933895598,0.0
41,215,0.000973113074,0.0
42,220,0.001011428934,0.0
