,evaluations,theory (real),theory (imag),sim (real),sim (imag),exp (real),exp (imag)
0,-6.283185307179587,-0.057841704404086626,-0.02367672341415209,-0.06959519856978674,-0.010854297024645632,-0.07764765784114078,-0.07433808553971524
1,-6.220353454107791,-0.059591439000175765,-0.030940045057291546,-0.026688800919422773,-0.03000893883284389,-0.04557026476578437,0.000763747454174846
2,-6.157521601035995,-0.060656604373278786,-0.038815174383838226,-0.06167794662239823,-0.03307368152215562,-0.09037678207739344,-0.07459266802444034
3,-6.094689747964199,-0.060932464402381835,-0.04725256166906167,-0.07291533648320775,-0.0468650236240582,0.006364562118125919,-0.05346232179226109
4,-6.031857894892403,-0.06031601274384441,-0.05618782643756307,-0.0675520367769124,-0.04660962839994892,-0.02545824847250545,-0.13034623217922642
5,-5.969026041820608,-0.05870790635120449,-0.06554146698361209,-0.05886859915719589,-0.03716000510790457,-0.03513238289205735,-0.06517311608961338
6,-5.906194188748811,-0.05601449110378216,-0.07521881206830891,-0.045077257055293085,-0.07265994125909847,0.0005091649694498048,-0.1313645621181267
7,-5.843362335677016,-0.052149889745179055,-0.08511023243144313,-0.05631464691610266,-0.08134337887881493,-0.02138492871690468,-0.13492871690427743
8,-5.7805304826052195,-0.047038119448749714,-0.09509162610343032,-0.04890818541693276,-0.0864512833610012,-0.04557026476578437,-0.05473523421588625
9,-5.717698629533424,-0.04061520389335855,-0.1050251874131092,-0.03767079555612307,-0.06729664155280307,0.01629327902240297,-0.07790224032586587
10,-5.6548667764616285,-0.032831242812662226,-0.1147604651167171,-0.04354488571063725,-0.10279657770399697,-0.05498981670061129,-0.16242362525458284
11,-5.592034923389832,-0.02365240063106164,-0.1241357102871332,-0.022347082109564542,-0.1094368535308391,0.008401221995926359,-0.06517311608961338
12,-5.529203070318037,-0.013062775067235282,-0.13297950957371357,-0.001149278508492002,-0.11020303920316699,0.019602851323828618,-0.06670061099796368
13,-5.46637121724624,-0.001066106510248971,-0.1411126942518147,-0.010088111352317686,-0.13574256161409776,-0.0022912423625257596,-0.18635437881873765
14,-5.403539364174445,0.012312710418413121,-0.1483505102132253,0.002170859404929004,-0.1497892989401099,0.055244399185335774,-0.09572301425661948
15,-5.340707511102649,0.027026350394264737,-0.1545050287943273,0.02285787255778321,-0.13446558549355125,0.05371690427698541,-0.0544806517311612
16,-5.277875658030853,0.04300405127298295,-0.1593877731907883,0.028476567488187943,-0.1107138296513856,0.05829938900203627,-0.1588594704684321
17,-5.215043804959057,0.06015091087634107,-0.16281253026016781,0.04660962839994898,-0.14570297535436094,0.03054989816700583,-0.17235234215885992
18,-5.152211951887261,0.07834751583845885,-0.16459831286077134,0.06244413229472617,-0.11020303920316699,0.13620162932790203,-0.07306517311608998
19,-5.089380098815465,0.09744992763285966,-0.1645724336081663,0.09462393053249896,-0.15081087983654706,0.16140529531568196,0.0022912423625251485
20,-5.026548245743669,0.1172900462631053,-0.1625736471379888,0.09002681649853156,-0.12527135742561624,0.16242362525458226,-0.01960285132382923
21,-4.9637163926718735,0.13767636691813417,-0.15845531472767344,0.11556633890946233,-0.14544758013025166,0.19170061099796312,-0.005600814663951406
22,-4.900884539600078,0.15839513923590506,-0.15208854252621004,0.11939726727110195,-0.13012386668369302,0.11965376782077364,-0.07892057026476616
23,-4.838052686528282,0.1792119327637904,-0.143365242737196,0.18426765419486646,-0.1331886093730048,0.09063136456211777,-0.11914460285132411
24,-4.775220833456486,0.19987360583901073,-0.13220106595367037,0.17098710254118255,-0.10177499680755975,0.14383910386965348,-0.1573319755600818
25,-4.71238898038469,0.22011066853277947,-0.11853815249974532,0.1942280679351296,-0.08696207380921983,0.17413441955193457,-0.0399694501018333
