,strike price,expectation value (real),expectation value (imag),expectation value (sim/real),expectation value (sim/imag)
0,115.0,0.6603708010741969,0.052485355949046755,0.648468295748967,0.005149441596806929
1,160.0,0.08478802354708875,-0.03325753094037686,0.08879269340103829,0.001651860229411258
2,55.0,0.7692389432165991,0.08701433968206795,0.7412503411345486,0.0064242923848301875
3,110.0,0.7794142214315566,0.060905349475467746,0.7784847447849172,0.0020082116835823914
4,130.0,0.15346080836262427,-0.0017672713092689515,0.1413936705326908,-0.008082988362668842
5,125.0,0.2820158808592811,-0.00804803851327704,0.25852695859948094,-0.0004547456887364649
6,220.0,0.15329705555563883,-0.08020037791060523,0.1327961794591278,-0.001976026036847505
7,190.0,0.11550908127880516,-0.05695963864531603,0.11626371440644973,-0.004883210242526884
8,105.0,0.8312842661899302,0.07170427141252705,0.8220019399102576,0.0007997263704941561
9,120.0,0.4213860385810094,0.09730525550103682,0.4500008585391221,0.002407563013234485
10,85.0,0.8074150137148237,0.08586468302571126,0.8100907509727595,0.004048156629562966
11,25.0,0.6201995783913405,0.06461453775492802,0.6426855841223308,-0.005461951373224975
